rank,epoch,step,loss
2,1,1,5.8350415
2,1,2,5.8091383
2,1,3,5.972814
2,1,4,5.965735
2,1,5,5.9094634
2,1,6,5.65279
2,1,7,5.945066
2,1,8,5.918481
2,1,9,5.8954906
2,1,10,5.920972
0,1,1,5.930743
0,1,2,5.8656373
0,1,3,5.864694
0,1,4,5.830734
0,1,5,6.0123377
0,1,6,5.894772
0,1,7,5.838409
0,1,8,5.881955
0,1,9,5.875004
0,1,10,5.851059
0,1,1,5.905271
0,1,2,5.822705
0,1,3,5.8822227
0,1,4,5.871774
0,1,5,5.8886805
0,1,6,5.9006824
0,1,7,5.8462563
0,1,8,5.9591985
0,1,9,5.848383
0,1,10,5.9294252
0,1,1,5.889139
0,1,2,5.8253255
0,1,3,5.9513083
0,1,4,5.8631086
0,1,5,5.9579706
0,1,6,5.983457
0,1,7,5.89417
0,1,8,5.862334
0,1,9,6.007381
0,1,10,5.8542767
0,1,1,5.7113743
0,1,2,5.8770046
0,1,3,5.8402996
0,1,4,5.9319534
0,1,5,5.8841205
0,1,6,5.9618382
0,1,7,5.90642
0,1,8,5.873227
0,1,9,5.826785
0,1,10,5.9536924
2,1,1,5.870999
2,1,2,5.8667984
2,1,3,5.7990956
2,1,4,5.984397
2,1,5,5.9329715
2,1,6,5.7080603
2,1,7,6.069506
2,1,8,5.8467965
2,1,9,5.8950677
2,1,10,5.9524717
1,1,1,5.9801283
1,1,2,5.821348
1,1,3,5.8832088
1,1,4,5.95706
1,1,5,5.878689
1,1,6,5.968575
1,1,7,5.8504205
1,1,8,5.8662634
1,1,9,5.894079
1,1,10,5.8370543
0,1,1,5.845438
0,1,2,6.041603
0,1,3,5.837131
0,1,4,5.856754
0,1,5,5.7859187
0,1,6,5.686164
0,1,7,5.849871
0,1,8,5.7673063
0,1,9,5.8515363
0,1,10,5.744898
2,1,1,5.8203115
2,1,2,6.129902
2,1,3,5.940683
2,1,4,5.907318
2,1,5,5.739005
2,1,6,5.945585
2,1,7,5.968887
2,1,8,5.9305162
2,1,9,5.898657
2,1,10,6.0309734
3,1,1,5.7917643
3,1,2,5.9206567
3,1,3,5.838772
3,1,4,5.9449177
3,1,5,5.832874
3,1,6,5.956549
3,1,7,6.080169
3,1,8,5.842729
3,1,9,5.9465322
3,1,10,5.885279
0,1,1,5.8907037
0,1,2,5.9958315
0,1,3,5.937349
0,1,4,5.8877306
0,1,5,5.9394064
0,1,6,5.9105816
0,1,7,5.8669796
0,1,8,6.0000124
0,1,9,5.927891
0,1,10,5.9373875
0,1,11,5.8640094
2,1,1,6.082429
2,1,2,5.9167585
2,1,3,5.9217806
2,1,4,5.9665422
2,1,5,5.8973413
2,1,6,6.0252457
2,1,7,5.93836
2,1,8,5.9870815
2,1,9,5.868312
2,1,10,5.9164853
0,1,1,5.934618
0,1,2,5.9337764
0,1,3,5.9373055
0,1,4,5.88311
0,1,5,5.7759132
0,1,6,5.9840074
0,1,7,5.8643694
0,1,8,5.889962
0,1,9,5.943454
0,1,10,5.849023
3,1,1,5.8154554
3,1,2,5.926715
3,1,3,5.953041
3,1,4,5.936289
3,1,5,5.8184204
3,1,6,5.7696543
3,1,7,5.8956823
3,1,8,5.8507953
3,1,9,5.997081
3,1,10,5.882329
1,1,1,5.707306
1,1,2,5.8439302
1,1,3,5.9351993
1,1,4,5.818893
1,1,5,6.028426
1,1,6,5.901367
1,1,7,5.917635
1,1,8,5.780928
1,1,9,6.0265617
1,1,10,6.103414
1,1,1,5.862963
1,1,2,5.934711
1,1,3,5.8614616
1,1,4,5.8197346
1,1,5,6.0669866
1,1,6,5.8856797
1,1,7,5.836298
1,1,8,6.0237823
1,1,9,5.992301
1,1,10,5.8734493
1,1,1,5.9004855
1,1,2,5.9948726
1,1,3,5.78054
1,1,4,6.014793
1,1,5,5.889072
1,1,6,5.785301
1,1,7,6.076824
1,1,8,5.919113
1,1,9,5.873013
1,1,10,5.8970637
3,1,1,5.830222
3,1,2,5.744234
3,1,3,5.8878603
3,1,4,6.004758
3,1,5,5.8755455
3,1,6,5.7875705
3,1,7,5.8977995
3,1,8,5.7521687
3,1,9,5.994399
3,1,10,5.9233074
0,1,1,5.9693747
